a,standard,knee-threshold_0.1,knee-threshold_0.3,knee-threshold_0.5,knee-threshold_0.7,knee-threshold_0.9,sugeno_10,sugeno_2,sugeno_0,sugeno_0.5,sugeno_0.9,yager_0.2,yager_0.5,yager_1,yager_2,yager_5,cosine,quantum
0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.01000,0.99000,0.91000,0.97667,0.99000,0.99571,0.99889,0.90000,0.97059,0.99000,0.99497,0.99899,0.07899,0.81000,0.99000,0.99995,1.00000,0.99975,0.99990
0.02000,0.98000,0.82000,0.95333,0.98000,0.99143,0.99778,0.81667,0.94231,0.98000,0.98990,0.99796,0.04707,0.73716,0.98000,0.99980,1.00000,0.99901,0.99900
0.03000,0.97000,0.73000,0.93000,0.97000,0.98714,0.99667,0.74615,0.91509,0.97000,0.98477,0.99692,0.03254,0.68359,0.97000,0.99955,1.00000,0.99778,0.99710
0.04000,0.96000,0.64000,0.90667,0.96000,0.98286,0.99556,0.68571,0.88889,0.96000,0.97959,0.99585,0.02410,0.64000,0.96000,0.99920,1.00000,0.99606,0.99700
0.05000,0.95000,0.55000,0.88333,0.95000,0.97857,0.99444,0.63333,0.86364,0.95000,0.97436,0.99476,0.01860,0.60279,0.95000,0.99875,1.00000,0.99384,0.99450
0.06000,0.94000,0.46000,0.86000,0.94000,0.97429,0.99333,0.58750,0.83929,0.94000,0.96907,0.99366,0.01476,0.57010,0.94000,0.99820,1.00000,0.99114,0.99030
0.07000,0.93000,0.37000,0.83667,0.93000,0.97000,0.99222,0.54706,0.81579,0.93000,0.96373,0.99253,0.01194,0.54085,0.93000,0.99755,1.00000,0.98796,0.98830
0.08000,0.92000,0.28000,0.81333,0.92000,0.96571,0.99111,0.51111,0.79310,0.92000,0.95833,0.99138,0.00981,0.51431,0.92000,0.99679,1.00000,0.98429,0.98380
0.09000,0.91000,0.19000,0.79000,0.91000,0.96143,0.99000,0.47895,0.77119,0.91000,0.95288,0.99021,0.00816,0.49000,0.91000,0.99594,1.00000,0.98015,0.98190
0.10000,0.90000,0.10000,0.76667,0.90000,0.95714,0.98889,0.45000,0.75000,0.90000,0.94737,0.98901,0.00685,0.46754,0.90000,0.99499,1.00000,0.97553,0.97160
0.11000,0.89000,0.09889,0.74333,0.89000,0.95286,0.98778,0.42381,0.72951,0.89000,0.94180,0.98779,0.00579,0.44668,0.89000,0.99393,1.00000,0.97044,0.96810
0.12000,0.88000,0.09778,0.72000,0.88000,0.94857,0.98667,0.40000,0.70968,0.88000,0.93617,0.98655,0.00493,0.42718,0.88000,0.99277,1.00000,0.96489,0.96380
0.13000,0.87000,0.09667,0.69667,0.87000,0.94429,0.98556,0.37826,0.69048,0.87000,0.93048,0.98528,0.00422,0.40889,0.87000,0.99151,0.99999,0.95888,0.95720
0.14000,0.86000,0.09556,0.67333,0.86000,0.94000,0.98444,0.35833,0.67188,0.86000,0.92473,0.98398,0.00363,0.39167,0.86000,0.99015,0.99999,0.95241,0.94610
0.15000,0.85000,0.09444,0.65000,0.85000,0.93571,0.98333,0.34000,0.65385,0.85000,0.91892,0.98266,0.00314,0.37540,0.85000,0.98869,0.99998,0.94550,0.94650
0.16000,0.84000,0.09333,0.62667,0.84000,0.93143,0.98222,0.32308,0.63636,0.84000,0.91304,0.98131,0.00272,0.36000,0.84000,0.98712,0.99998,0.93815,0.94140
0.17000,0.83000,0.09222,0.60333,0.83000,0.92714,0.98111,0.30741,0.61940,0.83000,0.90710,0.97993,0.00237,0.34538,0.83000,0.98544,0.99997,0.93037,0.93000
0.18000,0.82000,0.09111,0.58000,0.82000,0.92286,0.98000,0.29286,0.60294,0.82000,0.90110,0.97852,0.00206,0.33147,0.82000,0.98367,0.99996,0.92216,0.92220
0.19000,0.81000,0.09000,0.55667,0.81000,0.91857,0.97889,0.27931,0.58696,0.81000,0.89503,0.97708,0.00180,0.31822,0.81000,0.98178,0.99995,0.91354,0.91620
0.20000,0.80000,0.08889,0.53333,0.80000,0.91429,0.97778,0.26667,0.57143,0.80000,0.88889,0.97561,0.00158,0.30557,0.80000,0.97980,0.99994,0.90451,0.90240
