a,b,minimum,product,lukasiewicz,nilpotent_minimum,hamacher_product,quantum

0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.05000,0.05000,0.05000,0.05000,0.05000,0.05000,0.00560

0.00000,0.10000,0.10000,0.10000,0.10000,0.10000,0.10000,0.02450

0.00000,0.15000,0.15000,0.15000,0.15000,0.15000,0.15000,0.05650

0.00000,0.20000,0.20000,0.20000,0.20000,0.20000,0.20000,0.09760

0.00000,0.25000,0.25000,0.25000,0.25000,0.25000,0.25000,0.14370

0.00000,0.30000,0.30000,0.30000,0.30000,0.30000,0.30000,0.20930

0.00000,0.35000,0.35000,0.35000,0.35000,0.35000,0.35000,0.27520

0.00000,0.40000,0.40000,0.40000,0.40000,0.40000,0.40000,0.34390

0.00000,0.45000,0.45000,0.45000,0.45000,0.45000,0.45000,0.41940

0.00000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.49680

0.00000,0.55000,0.55000,0.55000,0.55000,0.55000,0.55000,0.57900

0.00000,0.60000,0.60000,0.60000,0.60000,0.60000,0.60000,0.65510

0.00000,0.65000,0.65000,0.65000,0.65000,0.65000,0.65000,0.73130

0.00000,0.70000,0.70000,0.70000,0.70000,0.70000,0.70000,0.79100

0.00000,0.75000,0.75000,0.75000,0.75000,0.75000,0.75000,0.85080

0.00000,0.80000,0.80000,0.80000,0.80000,0.80000,0.80000,0.90000

0.00000,0.85000,0.85000,0.85000,0.85000,0.85000,0.85000,0.94680

0.00000,0.90000,0.90000,0.90000,0.90000,0.90000,0.90000,0.97640

0.00000,0.95000,0.95000,0.95000,0.95000,0.95000,0.95000,0.99470

0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.05000,0.00000,0.05000,0.05000,0.05000,0.05000,0.05000,0.00740

0.05000,0.05000,0.05000,0.09750,0.10000,0.05000,0.09524,0.01390

0.05000,0.10000,0.10000,0.14500,0.15000,0.10000,0.14070,0.03310

0.05000,0.15000,0.15000,0.19250,0.20000,0.15000,0.18640,0.05580

