a,b,minimum,product,lukasiewicz,nilpotent_minimum,hamacher_product,quantum

0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.05000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.10000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.30000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.35000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.45000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.55000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.60000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.65000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.70000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.75000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.80000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.85000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.90000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,0.95000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.05000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

0.05000,0.05000,0.05000,0.00250,0.00000,0.00000,0.02564,0.00000

0.05000,0.10000,0.05000,0.00500,0.00000,0.00000,0.03448,0.00010

0.05000,0.15000,0.05000,0.00750,0.00000,0.00000,0.03896,0.00030

